id,codice,descrizione,prezzo
,1012105,PANNOLINO MUTANDINA PICCOLA,0.41
,31206003,VENTRIERA POST-OPERATORIA,66.99
,31206006,VENTRIERA PER PTOSI VISCERALE,86.63
,31206009,VENTRIERA PER SVENTRAMENTO SEMPLICE,108.53
,31206012,VENTRIERA PER SVENTRAMENTO ADDOME,152.16
,31206015,VENTRIERA PER SVENTRAMENTO ADDOME,193.99
,31206033,CINTO ERNIARIO IN TESSUTO ELASTICO,59.79
,31206036,CINTO ERNIARIO A MOLLA,98.96
,31206039,CINTO ERNIARIO INGUINALE DOPPIO,79.32
,31206042,CINTO ERNIARIO INGUINALE DOPPIO,110.68
,31206045,CINTO ERNIARIO SCROTALE NORMALE,114.17
,31206103,AGG. FORO PER STOMIA SU VENTRIERA,32.04
,31208048,CINTO ERNIARIO SCROTALE SU MISURA,152.82
,33303003,CUSCINO IN FIBRA CAVA SILICONATA,77.47
,33303006,CUSCINO IN GEL FLUIDO,77.47
,33303009,CUSCINO IN MAT.VISCOELASTICO COMPAT.,185.92
,33303012,CUSCINO COMPOSITO CON BASE ANATOMICA,258.23
,33303015,CUSCINO CON BOLLE D'ARIA COMUNIC.,335.7
,33303018,CUSCINO CON BOLLE D'ARIA,0
,33306003,MATERASSO VENTILATO IN ESPANSO,116.2
,33306006,MATER. VENTILATO IN ESPANSO COMPOSITO,258.23
,33306009,MATERASSO IN FIBRA CAVA SILICONATA,167.85
,33306012,MATERASSO IN FIBRA CAVA SILICONATA,232.41
,33306015,MATERASSO AD ACQUA,139.44
,33306018,MATERASSO AD ARIA CON CAMERA,232.41
,33306021,MATER. AD ELEMENTI INTERSCAMBIABILI,0
,33306024,TRAVERSO IN VELLO NATURALE,0
,33306027,TRAVERSA IN MATERIALE SINTETICO,0
,33306030,TRAVERSA IN FIBRA CAVA SILICONATA,0
,33306033,TRAV. A BOLLE D'ARIA MICROINTERSCAMB.,0
,33309003,PROTEZIONE PER TALLONE IN MATERIALE,16.27
,33309006,PROTEZIONE PER TALLONE IN FIBRA CAVA,16.27
,33309009,PROTEZIONE PER GOMITO IN MATERIALE,23.24
,33309012,PROTEZIONE PER GOMITO IN FIBRA CAVA,23.24
,33309015,PROTEZIONE PER GINOCCHIO IN MATERIALE,25.82
,33309018,PROTEZIONE PER GINOCCHIO IN FIBRA,0
,34821003,STABILIZZATORE PER STATICA IN POSTURA,409.03
,34821006,STABILIZZATORE PER STATICA IN POSTURA,536.93
,34821009,STABILIZZATORE PER STATICA IN POSTURA,495.44
,34821033,STABILIZZATORE STATICA POST.ERETTA,381.11
,34821036,STABILIZZATORE STATICA POST. ERETTA,685.99
,34821063,STAB.RE PER STATICA IN POSTURA SUPINA,828.25
,34821066,STAB.RE PER STATICA IN POSTURA SUPINA,984.91
,34821069,STAB.RE PER STATICA IN POSTURA SUPINA,1033.21
,34821081,STAB.RE MOBILE IN POSTURA ERETTA,1524.16
,34821103,TAVOLO DA LAVORO POSIZ.LE IN ALTEZZA,105.27
,34821106,TAVOLO DA LAVORO POS.LE ALTEZZA/INCL.,167.7
,34821109,REGOLAZ. PRONO-SUPINAZIONE PIEDE,60.75
,34821112,REGOLAZ. INTA-EXTRA ROTAZIONE PIEDE,52.35
,34821115,REGOLAZ. FLESSO-ESTENSIONE DEL PIEDE,56.07
,34821118,AGG. SOSTEGNO O PRESA REGOLAB. TRONCO,89.12
,34821121,QUATTRO RUOTE PIROETTANTI MM.80,63.22
,34821124,AGG. REGOLAZIONE PISTONE OLEODINAMICO,246.91
,34821127,AGG. REGOLAZIONE MOTORE ELETTRICO,621.59
,34821136,AGG. REGOLAZIONE PISTONE A GAS,246.91
,34821201,AGG. DISPOSITIVO DI FRENO,121.09
,34821204,AGG. SOSTEGNO PER ARTO SUPERIORE,174.45
,34821207,AGG. DIVARICATORE,60.57
,37809003,STAB.RE DEAMB.RE IN POSIZIONE ERETTA,1697.14
,60309003,BUSTO SU MISURA CON ALL. CENTRALE UOM,112.36
,60309004,BUSTO SU MISURA CON ALL. CENTRALE DON,145.63
,60309005,BUSTO IN STOFFA DOPPIA SU MISURA UOM,162.75
,60309006,BUSTO IN STOFFA DOPPIA SU MISURA DONN,169.22
,60309007,BUSTO STOFFA E ELSTICA SU MISURA UOMO,143.66
,60309008,BUSTO STOFFA E ELASTICA DONNA,162.46
,60309009,BUSTO STOFFA DOPPIA SU MISURA UOMO,192.81
,60309010,BUSTO IN STOFFA DOPPIA SU MISURA DONN,231.59
,60309011,BUSTO IN STOFFA E ALLAC. LATER. UOMO,156.83
,60309012,BUSTO IN STOFFA E ALLAC. LATER. DONNA,202.54
,60309013,BUSTO STOFFA DOPPIA E ALLAC. LAT. UOM,190.95
,60309014,BUSTO STOFFQA DOPPIA E ALL. LAT. DONN,228.21
,60309015,BUSTO IN STOFFA ARMATA SU MISURA,188.13
,60309016,BUSTO IN STOFFA ARMATA SU MISURA,231.54
,60309017,BUSTO IN STOFFA ARMATA SU MISURA,206.26
,60309018,BUSTO IN STOFFA ARMATA SU MISURA,257.03
,60309026,BUSTO RIGIDO CON ASCELLARI,384.2
,60309027,BUSTO RIGIDO CON ASCELLARI,288.39
,60309028,BUSTO RIGIDO CON ASCELLARI,619.4
,60309029,BUSTO RIGIDO CON ASCELLARI,466.9
,60309030,BUSTO RIGIDO CON ASCELLARI,398.22
,60309031,BUSTO RIGIDO CON ASCELLARI,674.12
,60309033,BUSTO RIGIDO SENZA ASCELLARI,440.72
,60309034,BUSTO RIGIDO SENZA ASCELLARI,295.53
